,Candidate ID,Person ID,First Name,Last Name,Campaign Website,Violation #,Description,Help,HelpUrl,Id,Impact,Tags
0,65809,304885,Natalie,Fleming,http://natalieisawesome.com/,1,Ensures role attribute has an appropriate value for the element,ARIA role must be appropriate for the element,https://dequeuniversity.com/rules/axe/3.1/aria-allowed-role?application=axeAPI,aria-allowed-role,minor,"['cat.aria', 'best-practice']"
1,65809,304885,Natalie,Fleming,http://natalieisawesome.com/,2,Ensures all page content is contained by landmarks,All page content must be contained by landmarks,https://dequeuniversity.com/rules/axe/3.1/region?application=axeAPI,region,moderate,"['cat.keyboard', 'best-practice']"
2,79281,326195,Craig,Williams,http://williamsforiowa.com/,1,Ensures role attribute has an appropriate value for the element,ARIA role must be appropriate for the element,https://dequeuniversity.com/rules/axe/3.1/aria-allowed-role?application=axeAPI,aria-allowed-role,minor,"['cat.aria', 'best-practice']"
3,79281,326195,Craig,Williams,http://williamsforiowa.com/,2,Ensures all page content is contained by landmarks,All page content must be contained by landmarks,https://dequeuniversity.com/rules/axe/3.1/region?application=axeAPI,region,moderate,"['cat.keyboard', 'best-practice']"
4,65809,304885,Natalie,Fleming,http://natalieisawesome.com/,1,Ensures role attribute has an appropriate value for the element,ARIA role must be appropriate for the element,https://dequeuniversity.com/rules/axe/3.1/aria-allowed-role?application=axeAPI,aria-allowed-role,minor,"['cat.aria', 'best-practice']"
5,65809,304885,Natalie,Fleming,http://natalieisawesome.com/,2,Ensures all page content is contained by landmarks,All page content must be contained by landmarks,https://dequeuniversity.com/rules/axe/3.1/region?application=axeAPI,region,moderate,"['cat.keyboard', 'best-practice']"
6,65809,304885,Natalie,Fleming,http://natalieisawesome.com/,1,Ensures role attribute has an appropriate value for the element,ARIA role must be appropriate for the element,https://dequeuniversity.com/rules/axe/3.1/aria-allowed-role?application=axeAPI,aria-allowed-role,minor,"['cat.aria', 'best-practice']"
7,65809,304885,Natalie,Fleming,http://natalieisawesome.com/,2,Ensures all page content is contained by landmarks,All page content must be contained by landmarks,https://dequeuniversity.com/rules/axe/3.1/region?application=axeAPI,region,moderate,"['cat.keyboard', 'best-practice']"
8,65809,304885,Natalie,Fleming,http://natalieisawesome.com/,1,Ensures role attribute has an appropriate value for the element,ARIA role must be appropriate for the element,https://dequeuniversity.com/rules/axe/3.1/aria-allowed-role?application=axeAPI,aria-allowed-role,minor,"['cat.aria', 'best-practice']"
9,65809,304885,Natalie,Fleming,http://natalieisawesome.com/,2,Ensures all page content is contained by landmarks,All page content must be contained by landmarks,https://dequeuniversity.com/rules/axe/3.1/region?application=axeAPI,region,moderate,"['cat.keyboard', 'best-practice']"
